Competition Title,Competition Date,FIRST,LAST,Nation,Rank,Qualification lead,Qualification speed,Qualification boulder,Final lead,Final speed,Final boulder,Points,Final Points,Category
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Timotej,ROMŠAK,SLO,18,12.,27.,12.,,,,3888.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jaka,JAKI,SLO,19,6.,33.,21.,,,,4257.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jan,GURBA,POL,20,20.,9.,25.,,,,4500.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Roko,ČAČIJA,CRO,21,23.,20.,13.,,,,5980.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ivan,BONEV,BUL,22,17.,30.,14.,,,,7140.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Oskar,WOLFF,NZL,23,22.,22.,15.,,,,7502.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Taeyun,KIM,KOR,24,27.,12.,28.,,,,9405.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dohyeon,KIM,KOR,25,21.,17.,27.,,,,9639.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Vin,SUKAPANPOTHARAM,THA,26,27.,18.,19.,,,,9652.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nicholas,GIANNONE,RSA,27,31.,14.,36.,,,,15624.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Louis,GUIGNARD,SUI,28,26.,29.,21.,,,,16211.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joanes,ESPARTA FRADE,ESP,29,24.,35.,24.,,,,20160.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,jose tomas,LEDESMA,CHI,30,33.,24.,26.,,,,20592.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jordan,NIGHTINGALE,RSA,31,32.,19.,33.,,,,20672.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Dimitrios,KALLIKAS,GRE,32,35.,21.,32.,,,,23520.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Daniel Massimo,ROWOLD,DEN,33,29.,25.,33.,,,,24650.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joaquin,URRUTIA,CHI,34,25.,34.,31.,,,,26350.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Filippos,LAVRENTAKIS-RIGAKIS,GRE,35,30.,32.,30.,,,,28800.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jakhongir,KHASANOV,UZB,36,36.,36.,33.,,,,44064.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sohta,AMAGASA,JPN,1,2.,7.,1.,,,,14.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Shuta,TANAKA,JPN,2,1.,9.,2.,,,,18.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nicolai,UZNIK,AUT,3,6.,4.,4.,,,,96.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Julien,CLÉMENCE,SUI,4,3.,13.,5.,,,,195.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ziga,ZAJC,SLO,5,7.,6.,6.,,,,252.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mikel Asier,LINACISORO MOLINA,ESP,6,4.,8.,9.,,,,288.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Cheuk-nam,WONG,HKG,7,24.,1.,23.,,,,552.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lukas,FRANCKAERT,BEL,8,15.,14.,3.,,,,630.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Peter,KURIC,SVK,9,9.,10.,7.,,,,675.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Mark,CHAN CHONG KIAT,SGP,10,18.,3.,16.,,,,891.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nickolaie,RIVADENEIRA,ECU,11,17.,2.,27.,,,,918.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Nino,GRÜNENFELDER,SUI,12,5.,16.,18.,,,,1440.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Philipp,GEISENHOFF,SUI,13,12.,11.,12.,,,,1787.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Christopher,COSSER,RSA,14,12.,5.,30.,,,,1982.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Sam,LAVENDER,AUS,15,23.,12.,7.,,,,2070.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Eneko,CARRETERO CRUZ,ESP,16,12.,19.,10.,,,,2593.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Louis,GUNDOLF,AUT,17,10.,25.,14.,,,,3500.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Klemen,NOVAK,SLO,18,8.,26.,19.,,,,4056.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Amiad,LIFMAN,ISR,19,16.,18.,16.,,,,4752.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Ymer,ALBER,SWE,20,11.,32.,15.,,,,5445.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Suraj,SINGH,IND,21,22.,24.,10.,,,,5544.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Carmel,RAZ ROMEO,ISR,22,21.,22.,12.,,,,5775.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emilio,RIOS,CHI,23,19.,15.,21.,,,,5985.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Stoyan,PETROV,BUL,24,26.,21.,19.,,,,10647.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Thomas,WALDIN,NZL,25,32.,20.,22.,,,,14080.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Albert,ILSAAS SUTHURST,NOR,26,20.,29.,24.,,,,14210.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Joaquin,SQUELLA,CHI,27,29.,17.,30.,,,,15036.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Theofanis Ermis,THEOCHAROPOULOS,GRE,28,33.,23.,24.,,,,18595.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Frederik,VIBERG CHRISTIANSEN,DEN,29,28.,27.,28.,,,,21168.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Pedro,AVELLAR,BRA,30,30.,28.,29.,,,,24360.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,David,SHEPPARD,NZL,31,34.,31.,26.,,,,27404.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Pedro,EGG,BRA,32,25.,32.,33.,,,,27637.5,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Alexandros,LAVDAS,GRE,33,31.,30.,32.,,,,29760.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Thokchom Boynao,SINGH,IND,34,27.,32.,33.,,,,29848.5,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Janja,GARNBRET,SLO,1,35+8.,9.1657.,4T4z552.,Top1.,13.3996.,1T2z122.,112.0,12.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Akiyo,NOGUCHI,JPN,2,36+2.,9.39110.,4T4z1284.,40+3.,10.0827.,2T2z331.,80.0,21.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Shauna,COXSEY,GBR,3,36+3.,10.42214.,4T4z441.,20 7.,9.2252.,1T2z233.,42.0,42.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Aleksandra,MIROSLAW,POL,4,10+20.,7.3211.,0T0z0019.,10 8.,7.7501.,0T0z008.,390.0,64.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Miho,NONAKA,JPN,5,29+14.,8.9945.,3T4z576.,23+5.,12.3564.,1T2z344.,420.0,80.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Ai,MORI,JPN,6,Top1.,12.58518.,1T2z1816.,Top2.,12.8608.,1T2z375.,288.0,80.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Futaba,ITO,JPN,7,29+15.,8.9174.,4T4z12125.,27 4.,8.6555.,0T2z026.,300.0,120.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Petra,KLINGLER,SUI,8,31+12.,9.2018.,4T4z663.,23+6.,8.9013.,0T2z037.,288.0,126.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Brooke,RABOUTOU,USA,9,35+7.,9.1296.,2T2z3310.,,,,420.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Jessica,PILZ,AUT,10,36+6.,9.56411.,3T4z6107.,,,,462.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Anouck,JAUBERT,FRA,11,18+18.,7.5142.,1T2z2517.,,,,612.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Julia,CHANOURDIE,FRA,12,32 11.,9.2639.,3T3z868.,,,,792.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Chaehyun,SEO,KOR,13,36+5.,10.77016.,2T2z9913.,,,,1040.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Mia,KRAMPL,SLO,14,36+4.,12.79719.,1T2z1514.,,,,1064.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Di,NIU,CHN,15,10+19.,8.1373.,0T0z0019.,,,,1111.5,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Vita,LUKAN,SLO,16,34+9.,13.22820.,2T4z499.,,,,1620.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Lucka,RAKOVEC,SLO,17,32+10.,10.47715.,2T2z5512.,,,,1800.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Alannah,YIP,CAN,18,21+16.,9.96312.,2T2z5311.,,,,2112.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Nanako,KURA,JPN,19,21+17.,10.11813.,1T2z1715.,,,,3315.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Ievgeniia,KAZBEKOVA,UKR,20,31 13.,10.82217.,1T1z1118.,,,,3978.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Tomoa,NARASAKI,JPN,1,31+7.,6.3524.,3T4z1164.,30 2.,fall2.,3T3z431.,112.0,4.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Jakob,SCHUBERT,AUT,2,36 2.,7.38515.,3T4z482.,Top1.,7.2087.,0T3z065.,60.0,35.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Rishat,KHAIBULLIN,KAZ,3,27+16.,5.8631.,1T1z4317.,22 5.,5.9151.,0T1z028.,272.0,40.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Kai,HARADA,JPN,4,30 13.,6.6346.,3T4z493.,30 3.,6.3483.,0T2z066.,234.0,54.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Meichi,NARASAKI,JPN,5,31 10.,6.7768.,3T4z1185.,21 6.,6.6895.,1T3z142.,400.0,60.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Kokoro,FUJII,JPN,6,32+5.,6.5315.,2T4z3167.,29+4.,9.4386.,1T3z263.,175.0,72.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Mickael,MAWEM,FRA,7,23+18.,6.2503.,2T3z248.,20 7.,6.7164.,1T2z344.,432.0,112.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Alexander,MEGOS,GER,8,37+1.,8.29517.,4T4z11111.,08.,7.5708.,0T1z017.,17.0,448.0,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Ludovico,FOSSALI,ITA,9,9 20.,5.8892.,0T0z0020.,,,,800.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Sean,MCCOLL,CAN,10,34 3.,8.35418.,1T2z2315.,,,,810.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Yannick,FLOHÉ,GER,11,32+4.,7.39616.,1T3z51014.,,,,896.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Nathaniel,COLEMAN,USA,12,31+8.,7.02410.,1T3z2812.,,,,960.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Rudolph,RUANA,USA,13,32+6.,7.28712.,0T3z01718.,,,,1296.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Michael,PICCOLRUAZ,ITA,14,29+15.,6.6557.,1T3z4713.,,,,1365.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Keita,DOHI,JPN,15,30+12.,7.12411.,1T4z6811.,,,,1452.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Jernej,KRUDER,SLO,16,29+14.,7.29513.,2T3z759.,,,,1638.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Jan,HOJER,GER,17,30+11.,8.35719.,2T3z12610.,,,,2090.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Adam,ONDRA,CZE,18,10 19.,9.00020.,3T3z1266.,,,,2280.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Stefano,GHISOLFI,ITA,19,31+9.,7.34714.,0T2z0419.,,,,2394.0,,combined
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,Jongwon,CHON,KOR,20,25+17.,6.8849.,1T2z2416.,,,,2448.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Kyra,CONDIE,USA,1,3.,4.,4.,Top2.,3.,3T4z6101.,48.0,6.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Valentina,AGUADO,ARG,2,2.,5.,1.,Top1.,4.,2T3z232.,10.0,8.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Andrea,ROJAS,ECU,3,4.,1.,8.,57 4.,1.,1T3z2124.,32.0,16.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Ignacia,MELLADO QUINTEROS,CHI,4,1.,12.,3.,Top3.,6.,2T3z13103.,36.0,54.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Leslie,ROMERO,VEN,5,7.,2.,6.,48+6.,2.,1T2z145.,84.0,60.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Alejandra,CONTRERAS,CHI,6,5.,3.,2.,53+5.,5.,1T2z336.,30.0,150.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Emily,GONZALEZ,ECU,7,6.,6.,9.,,,,324.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Muykuay,SILVA,CHI,8,8.,9.,5.,,,,360.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Thais Makino,SHIRAIWA,BRA,9,10.,7.,10.,,,,700.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Rocio Ailen,BECERRA,ARG,10,9.,8.,12.,,,,864.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Gabriela Andrea,SANDOVAL SEPÚLVEDA,CHI,11,12.,11.,7.,,,,924.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Josefina,MESA BARRIENTOS,CHI,12,11.,13.,11.,,,,1573.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Noelia,VENET GALLEGOS,PER,13,13.,10.,13.,,,,1690.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Danny,VALENCIA,ECU,1,2.,3.,13.,Top1.,3.,4T4z1062.,78.0,6.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Kai,LIGHTNER,USA,2,1.,7.,2.,Top2.,4.,4T4z441.,14.0,8.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,John,BROSLER,USA,3,15.,1.,7.,37 6.,1.,0T3z066.,112.5,36.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Carlos,GRANJA,ECU,4,8.,2.,3.,48+5.,2.,3T4z13115.,48.0,50.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Cesar,GROSSO,BRA,5,4.,8.,5.,48+4.,5.,4T4z1183.,160.0,60.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Rudolph,RUANA,USA,6,3.,13.,1.,Top3.,6.,3T4z594.,39.0,72.0,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Ronny,ESCOBAR,CHI,7,7.,14.,4.,,,,392.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Jose Maria,ALJARO,CHI,8,6.,21.,6.,,,,756.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Nickolaie,RIVADENEIRA,ECU,9,14.,4.,19.,,,,1064.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Galo,HERNANDEZ,ECU,10,11.,9.,11.,,,,1089.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Gustavo Jose,PEREZ,VEN,11,9.,10.,14.,,,,1260.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Felipe,HO FOGANHOLO,BRA,12,5.,23.,12.,,,,1380.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Benjamin,AYALA,CHI,13,13.,16.,7.,,,,1560.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Pedro Ferreira,NICOLOSO,BRA,14,10.,20.,10.,,,,2000.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Isaac,ESTEVEZ,ECU,15,23.,6.,15.,,,,2070.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Jean,OURIQUES,BRA,16,16.,19.,9.,,,,2736.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Juan Martin,PEÑA,ECU,17,24.,5.,23.,,,,2820.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Emilio,RIOS,CHI,18,12.,17.,20.,,,,4080.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Sergio,NEVAREZ,ECU,19,17.,12.,23.,,,,4794.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Valentin,VARGAS,VEN,20,20.,15.,16.,,,,4800.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Tomas,GUEVARA,VEN,21,18.,11.,28.,,,,5544.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Valentin,STERNIK,ARG,22,22.,18.,17.,,,,6732.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Benjamin,VARGAS,CHI,23,19.,26.,22.,,,,10868.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Fernando,MORALES,GUA,24,26.,25.,18.,,,,11700.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Jimmy Edison,HUAYANAY,PER,25,28.,22.,21.,,,,12936.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Luis,CHÁVEZ,GUA,26,21.,24.,27.,,,,13608.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Cristian,LANUZA,GUA,27,25.,28.,26.,,,,18200.0,,combined
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,Hector,MEJIA,GUA,28,27.,27.,25.,,,,18225.0,,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Janja,GARNBRET,SLO,1,9 2.,10.6245.,1T1z111.,Top1.,11.2815.,4T4z771.,10.0,5.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Sol,SA,KOR,2,5 6.,9.8062.,1T1z776.,23+6.,9.2731.,2T4z9182.,72.0,12.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Jessica,PILZ,AUT,3,10 1.,11.9986.,1T1z443.,Top2.,10.3522.,1T2z276.,18.0,24.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Akiyo,NOGUCHI,JPN,4,8 3.,10.5484.,1T1z222.,31+3.,fall6.,2T2z663.,24.0,54.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Miho,NONAKA,JPN,5,6 5.,9.0611.,1T1z554.,26+4.,fall4.,2T2z1084.,20.0,64.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Petra,KLINGLER,SUI,6,7 4.,10.0103.,1T1z665.,26+5.,Wildcard3.,2T2z12125.,60.0,75.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Jakob,SCHUBERT,AUT,1,49 1.,83.,7.,37+2.,2.,4T4z841.,581.0,4.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Adam,ONDRA,CZE,2,48+2.,54.,12.,42+1.,5.,4T4z1162.,1296.0,10.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Jan,HOJER,GER,3,21 20.,13.,6.,26+6.,1.,3T4z864.,1560.0,24.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Kai,HARADA,JPN,4,40 9.,23.,1.,34+3.,4.,3T3z745.,207.0,60.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Tomoa,NARASAKI,JPN,5,37 11.,6.,4.,34 4.,6.,3T4z653.,264.0,72.0,combined
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,Kokoro,FUJII,JPN,6,23 19.,16.,3.,30+5.,3.,2T4z256.,912.0,90.0,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Natsumi,HIRANO,JPN,1,1.,14.,1.,,,,14.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Julia,LOTZ,AUT,2,7.,1.,5.,,,,35.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Emily,PHILLIPS,GBR,3,2.,5.,4.,,,,40.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Jana,RAUTH,AUT,4,4.,4.,3.,,,,48.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Vanda,MICHALKOVA,SVK,5,3.,15.,6.,,,,270.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Hana,KUDO,JPN,6,12.,12.,2.,,,,288.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucie,WATILLON,BEL,7,9.,6.,13.,,,,702.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Zoé,EGLI,SUI,8,5.,18.,8.,,,,765.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Erica,VELEV,BUL,9,24.,2.,17.,,,,840.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Betka,DEBEVEC,SLO,10,8.,11.,10.,,,,880.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Lucija,TARKUS,SLO,11,11.,10.,8.,,,,935.0,,combined
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,Seoyeon,PARK,KOR,12,17.,3.,19.,,,,1023.75,,combined
